id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
9360808,false,research,false,-25.7331644315,28.0233104154,18,false,Halcyon albiventris,Aves
9384303,,research,false,-28.372,32.3912,100,false,Halcyon albiventris albiventris,Aves
9392498,,research,false,-23.1167719132,31.4548255946,1000,false,Halcyon albiventris vociferans,Aves
9484890,false,research,false,-15.7799749374,34.9890708923,,false,Halcyon albiventris,Aves
9562399,false,research,false,-17.9164265547,25.8174741268,80,false,Halcyon albiventris,Aves
9699450,,research,false,-27.56054,31.265261,20,false,Halcyon albiventris albiventris,Aves
9761351,false,research,false,-33.4833333,25.75,84754,false,Halcyon albiventris,Aves
9882033,false,research,false,-18.9542572473,32.6844848235,206,false,Halcyon albiventris,Aves
9903883,false,research,false,-23.7492530586,27.9849243164,1953,false,Halcyon albiventris,Aves
9933699,,research,false,-34.017277,20.437593,5,false,Halcyon albiventris vociferans,Aves
9963132,,research,false,-30.2989539381,30.7474279404,8,false,Halcyon albiventris albiventris,Aves
9975483,false,research,false,-33.7501937379,26.5296254904,10,false,Halcyon albiventris,Aves
9976837,false,research,false,-17.8597543099,25.7982265949,15,false,Halcyon albiventris,Aves
10042137,,research,false,-24.7054084,28.3875,5,false,Halcyon albiventris vociferans,Aves
10372626,false,research,false,-23.87012,35.47648,222,false,Halcyon albiventris,Aves
10543325,false,research,false,-23.10963,31.43305,,false,Halcyon albiventris,Aves
10546613,,research,false,-23.1967725585,31.2560912913,,false,Halcyon albiventris vociferans,Aves
10696398,true,research,false,-25.7482188257,28.3239588228,8,false,Halcyon albiventris,Aves
10797622,,research,false,-34.1784869612,19.7006919043,1,true,Halcyon albiventris albiventris,Aves
10804459,false,research,false,-22.4243,31.2458,1,false,Halcyon albiventris,Aves
10809269,false,research,false,-28.6584,32.15047,1,false,Halcyon albiventris,Aves
10822008,,research,false,-33.481,21.61,110,false,Halcyon albiventris albiventris,Aves
10824396,,research,false,-34.07946,19.68303,1,false,Halcyon albiventris albiventris,Aves
10827548,,research,false,-22.178,29.476,110,false,Halcyon albiventris vociferans,Aves
10828727,,research,false,-25.123,31.916,110,false,Halcyon albiventris vociferans,Aves
10831060,,research,false,-24.0055948,31.7403163,1,false,Halcyon albiventris vociferans,Aves
10835365,,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris vociferans,Aves
10849546,,research,false,-24.9811,31.5712,1,false,Halcyon albiventris vociferans,Aves
10852518,,research,false,-28.7305,29.3512,1,false,Halcyon albiventris albiventris,Aves
10858107,,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris vociferans,Aves
10868538,,research,false,-25.2294,27.0323,1,false,Halcyon albiventris vociferans,Aves
10868544,,research,false,-30.3012,30.7427,1,false,Halcyon albiventris albiventris,Aves
10872517,,research,false,-32.965165,27.926275,1,false,Halcyon albiventris albiventris,Aves
10882758,,research,false,-33.7805,20.1139,1,false,Halcyon albiventris albiventris,Aves
10893288,true,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris,Aves
10894688,,research,false,-25.48,30.98,1100,false,Halcyon albiventris vociferans,Aves
10897928,false,research,false,-29.78307,30.84075,1,false,Halcyon albiventris,Aves
10915645,,research,false,-34.32267,21.36675,1,false,Halcyon albiventris albiventris,Aves
10922173,,research,false,-25.775262,28.21435,1,false,Halcyon albiventris vociferans,Aves
10925561,,research,false,-27.622765582,32.2942353319,1,false,Halcyon albiventris vociferans,Aves
10927000,,research,false,-26.8912947,32.1926511384,1,false,Halcyon albiventris vociferans,Aves
10927039,true,research,false,-25.6032203859,29.217054721,1,true,Halcyon albiventris,Aves
10935816,,research,false,-32.965394,27.926412,1,false,Halcyon albiventris albiventris,Aves
10940061,,research,false,-32.965201,27.926403,1,false,Halcyon albiventris albiventris,Aves
10941706,,research,false,-25.34893,27.05519,1,false,Halcyon albiventris vociferans,Aves
10946147,,research,false,-25.0683180018,29.3819421906,1,true,Halcyon albiventris vociferans,Aves
10948612,,research,false,-32.30452,28.82816,1,false,Halcyon albiventris albiventris,Aves
10949523,,research,false,-25.3827,31.8818,1,false,Halcyon albiventris vociferans,Aves
10958037,,research,false,-26.0887971,27.8428531,1,false,Halcyon albiventris vociferans,Aves
10958745,,research,false,-33.947049,22.462948,1,false,Halcyon albiventris albiventris,Aves
10958799,false,research,false,-30.29948,30.74273,1,false,Halcyon albiventris,Aves
10960721,,research,false,-33.5000594167,26.5736097222,1,false,Halcyon albiventris albiventris,Aves
10960886,,research,false,-33.94243,22.46239,1,false,Halcyon albiventris albiventris,Aves
10961585,,research,false,-30.29948,30.74273,1,false,Halcyon albiventris albiventris,Aves
10968679,,research,false,-33.5042382222,26.5698583056,1,false,Halcyon albiventris albiventris,Aves
10973425,false,research,false,-28.59888,31.76627,1,false,Halcyon albiventris,Aves
10979566,,research,false,-24.557137,25.9640823,1,false,Halcyon albiventris vociferans,Aves
10983117,,research,false,-23.807596236,31.596403385,1,false,Halcyon albiventris vociferans,Aves
10995020,,research,false,-32.2201267,24.5393908,1,false,Halcyon albiventris albiventris,Aves
10998269,false,research,false,-27.52939,32.64469,1,false,Halcyon albiventris,Aves
10999569,,research,false,-30.29926,30.74294,1,false,Halcyon albiventris albiventris,Aves
11000186,,research,false,-25.76037,29.31584,1,false,Halcyon albiventris vociferans,Aves
11000583,,research,false,-25.754311,29.317462,1,false,Halcyon albiventris vociferans,Aves
11003482,false,research,false,-27.794383,32.039963,1,false,Halcyon albiventris,Aves
11003757,,research,false,-24.5571931,25.9637524,1,false,Halcyon albiventris vociferans,Aves
11004133,,research,false,-33.4451287,25.7468757,1,false,Halcyon albiventris albiventris,Aves
11006593,,research,false,-25.7593613,29.318068,1,false,Halcyon albiventris vociferans,Aves
11007364,,research,false,-33.9437,22.4622,1,false,Halcyon albiventris albiventris,Aves
11016339,,research,false,-25.343335,27.053795,1,false,Halcyon albiventris vociferans,Aves
11020831,,research,false,-32.96487,26.80817,1,false,Halcyon albiventris albiventris,Aves
11024633,,research,false,-25.0307716667,31.058125,1,false,Halcyon albiventris vociferans,Aves
11032158,,research,false,-31.626601,29.545069,1,false,Halcyon albiventris albiventris,Aves
11034612,,research,false,-33.94317,22.46234,1,false,Halcyon albiventris albiventris,Aves
11035951,,research,false,-23.22,31.54136,1,false,Halcyon albiventris vociferans,Aves
11037471,,research,false,-28.3948,31.9327,1,false,Halcyon albiventris vociferans,Aves
11044903,,research,false,-26.780383,27.545267,1,false,Halcyon albiventris vociferans,Aves
11047343,,research,false,-27.5499679,32.6709259,1,false,Halcyon albiventris vociferans,Aves
11049166,,research,false,-23.6845,28.27103,1,false,Halcyon albiventris vociferans,Aves
11072924,,research,false,-26.1975,31.999,1,false,Halcyon albiventris vociferans,Aves
11072960,,research,false,-26.215895,31.999768,1,false,Halcyon albiventris vociferans,Aves
11074827,false,research,false,-26.215694,31.9965753,1,false,Halcyon albiventris,Aves
11075509,,research,false,-25.3585,31.8643,1,false,Halcyon albiventris vociferans,Aves
11078126,,research,false,-32.2201,24.5394,1,false,Halcyon albiventris albiventris,Aves
11078578,,research,false,-33.40908,26.4459,1,false,Halcyon albiventris albiventris,Aves
11082767,,research,false,-25.7753,28.2143,1,false,Halcyon albiventris vociferans,Aves
11082817,,research,false,-25.775262,28.21435,1,false,Halcyon albiventris vociferans,Aves
11093821,false,research,false,-22.98,29.6237,1,false,Halcyon albiventris,Aves
11095386,,research,false,-33.4451,25.7469,1,false,Halcyon albiventris albiventris,Aves
11095796,,research,false,-33.99786,22.66301,1,false,Halcyon albiventris albiventris,Aves
11108400,,research,false,-34.0549,23.0788,1,false,Halcyon albiventris albiventris,Aves
11109849,,research,false,-33.94369,22.46233,1,false,Halcyon albiventris albiventris,Aves
11114431,false,research,false,-25.7208,27.8415,1,false,Halcyon albiventris,Aves
11117174,,research,false,-27.6213884,32.2312005,1,false,Halcyon albiventris albiventris,Aves
11135271,,research,false,-33.2136884203,25.2474960138,110,true,Halcyon albiventris albiventris,Aves
11140201,,research,false,-30.29948,30.74273,1,false,Halcyon albiventris albiventris,Aves
11146991,,research,false,-30.0212,25.632,1,false,Halcyon albiventris vociferans,Aves
11148291,,research,false,-30.2828,30.7482,1,false,Halcyon albiventris albiventris,Aves
11154663,,research,false,-26.7705,27.5804,1,false,Halcyon albiventris albiventris,Aves
11157959,,research,false,-34.05294387,19.60719734,1,false,Halcyon albiventris albiventris,Aves
11159413,,research,false,-28.0276,32.3508,1,false,Halcyon albiventris vociferans,Aves
11171092,,research,false,-33.9421583333,22.4625233333,1,false,Halcyon albiventris albiventris,Aves
11173651,false,research,false,-30.2987,30.743,1,false,Halcyon albiventris,Aves
11179746,,research,false,-31.47363,28.62859,1,false,Halcyon albiventris albiventris,Aves
11179973,,research,false,-30.2991,30.74726,1,false,Halcyon albiventris albiventris,Aves
11181036,,research,false,-30.280981,30.7531635,1,false,Halcyon albiventris albiventris,Aves
11187854,,research,false,-24.772,28.0215,1,false,Halcyon albiventris albiventris,Aves
11188186,,research,false,-28.0458649027,32.4308570437,110,true,Halcyon albiventris vociferans,Aves
11189326,,research,false,-26.2112635,31.9994024,1,false,Halcyon albiventris vociferans,Aves
11191531,,research,false,-32.6974049167,28.3338761667,1,false,Halcyon albiventris albiventris,Aves
11191709,,research,false,-29.360717,31.301725,1,false,Halcyon albiventris vociferans,Aves
11198058,,research,false,-34.0227158,22.8089795,1,false,Halcyon albiventris albiventris,Aves
11203982,,research,false,-26.2112635,31.9994024,1,false,Halcyon albiventris vociferans,Aves
11205467,,research,false,-23.8529,31.5756,1,false,Halcyon albiventris vociferans,Aves
11219085,,research,false,-30.30078,30.74971,1,false,Halcyon albiventris albiventris,Aves
11235310,,research,false,-33.9159,20.0807,1,false,Halcyon albiventris albiventris,Aves
11242531,,research,false,-30.2991,30.74726,1,false,Halcyon albiventris albiventris,Aves
11249823,,research,false,-33.966464,22.09085,1,false,Halcyon albiventris albiventris,Aves
11256725,,research,false,-33.9475,22.4461,1,false,Halcyon albiventris albiventris,Aves
11263745,,research,false,-23.621,30.198,110,false,Halcyon albiventris vociferans,Aves
11272098,,research,false,-28.3762,32.418,1,false,Halcyon albiventris albiventris,Aves
11273267,,research,false,-33.389,25.82,110,false,Halcyon albiventris albiventris,Aves
11277229,,research,false,-33.939908,22.476879,1,false,Halcyon albiventris albiventris,Aves
11281169,,research,false,-34.10318,19.66863,1,false,Halcyon albiventris albiventris,Aves
11298624,,research,false,-25.4861,31.5484,1,false,Halcyon albiventris vociferans,Aves
11307843,false,research,false,-28.30503,32.45325,1,false,Halcyon albiventris,Aves
11309345,,research,false,-30.2951,30.7407,1,false,Halcyon albiventris albiventris,Aves
11311790,false,research,false,-30.256006,30.770915,1,false,Halcyon albiventris,Aves
11316804,,research,false,-30.3017,30.7435,1,false,Halcyon albiventris albiventris,Aves
11348411,,research,false,-33.947,22.4631566667,1,false,Halcyon albiventris albiventris,Aves
11357568,,research,false,-33.5026881,26.8301081,2400,false,Halcyon albiventris vociferans,Aves
11364596,,research,false,-32.965377,27.926303,1,false,Halcyon albiventris albiventris,Aves
11412573,,research,false,-25.1562782117,31.9340801239,50,false,Halcyon albiventris vociferans,Aves
11720633,false,research,false,-30.2819959499,30.7453089952,8,false,Halcyon albiventris,Aves
11975625,false,research,false,-15.9546343967,28.9166164398,15,false,Halcyon albiventris,Aves
12154236,,research,false,-23.1064626043,31.4308547974,542,false,Halcyon albiventris vociferans,Aves
12187665,,research,false,-30.3750966838,30.6991910934,8,false,Halcyon albiventris albiventris,Aves
12235956,false,research,false,-22.1871585179,29.2013766708,16,false,Halcyon albiventris,Mammalia
12404618,,research,false,-30.3006907967,30.7440027595,4,false,Halcyon albiventris albiventris,Aves
12423919,false,research,false,-28.2867,32.3741,200,false,Halcyon albiventris,Aves
12428783,false,research,false,-24.7785766667,31.4149816667,0,false,Halcyon albiventris,Aves
12477856,false,research,false,-25.2293769,27.0323305,22892,false,Halcyon albiventris,Aves
12633268,false,research,false,-24.6409537985,25.8777871215,84,false,Halcyon albiventris,Aves
13039606,,research,false,-28.3208,32.3627,50,false,Halcyon albiventris albiventris,Aves
13041718,,research,false,-28.3243,32.389,50,false,Halcyon albiventris albiventris,Aves
13229561,,research,false,-30.2971599882,30.7437619564,4,false,Halcyon albiventris vociferans,Aves
13288821,,research,false,-29.8241516766,30.9266574804,42,false,Halcyon albiventris albiventris,Aves
13329489,,research,false,-29.8260872067,30.9291198689,7,false,Halcyon albiventris albiventris,Aves
13367583,false,research,false,-17.910323,30.78474,10,false,Halcyon albiventris,Aves
13368030,false,research,false,-17.910425,30.788539,20,false,Halcyon albiventris,Aves
