id,out_of_range,quality_grade,captive_cultivated,latitude,longitude,positional_accuracy,coordinates_obscured,scientific_name,iconic_taxon_name
10904,,research,false,-28.2971258245,27.2076416016,,false,Lanius collaris subcoronatus,Aves
10914,false,research,false,-25.7603197547,27.2103881836,,false,Lybius torquatus,Aves
12999,false,research,false,-25.2868532715,31.5316092968,,false,Otus senegalensis,Aves
13003,false,research,false,-24.9812344601,31.5664243698,,false,Gorsachius leuconotus,Aves
13004,,research,false,-24.981506763,31.5662312508,,false,Ixobrychus minutus,Aves
13005,false,research,false,-25.2850586093,31.5328216553,,false,Telophorus sulfureopectus,Aves
13062,false,research,false,-24.9935263875,31.5335083008,,false,Pternistis swainsonii,Aves
13063,false,research,false,-24.981409512,31.5665531158,,false,Corythornis cristatus,Aves
13064,false,research,false,-25.284437747,31.5311050415,,false,Lamprotornis australis,Aves
13066,,research,false,-25.6923468,30.2469457,,false,Hirundo albigularis,Aves
13074,false,research,false,-24.9935263875,31.5589141846,,false,Chrysococcyx caprius,Aves
13087,false,research,false,-24.983333,31.6,,false,Lamprotornis chalybaeus,Aves
13100,false,research,false,-25.0174843322,31.7820739746,,false,Corvinella melanoleuca,Aves
13123,false,research,false,-24.9992829435,31.7693710327,,false,Pternistis natalensis,Aves
13125,false,research,false,-24.9751857552,31.7417264927,,true,Coracias garrulus,Aves
13128,false,research,false,-24.9921455519,31.592066288,,false,Treron calvus,Aves
13130,false,research,false,-24.9904146233,31.5877532959,,false,Cossypha heuglini,Aves
13139,false,research,false,-25.0021611204,31.605348587,,false,Glaucidium capense,Aves
13140,false,research,false,-25.0041835827,31.5979671478,,false,Cinnyricinclus leucogaster,Aves
13141,false,research,false,-25.0041835827,31.5985679626,,false,Urocolius indicus,Aves
13144,false,research,false,-24.9935263875,31.5889549255,,false,Vidua chalybeata,Aves
13145,,research,false,-24.9932152146,31.5898132324,,false,Oriolus larvatus additus,Aves
13146,false,research,false,-24.9814775877,31.5663278103,,false,Actophilornis africanus,Aves
13147,false,research,false,-24.9813317112,31.5663599968,,false,Butorides striata,Aves
13148,false,research,false,-24.98963667,31.6176223755,,false,Lophoceros alboterminatus,Aves
13151,false,research,false,-24.9810788582,31.6399383545,,false,Ciconia nigra,Aves
13152,false,research,false,-24.9926706602,31.594877243,,false,Chalcomitra senegalensis,Aves
13156,false,research,false,-24.9641170717,31.7391586304,,false,Halcyon leucocephala,Aves
13172,false,research,false,-24.9543124041,31.7154693604,,false,Vanellus armatus,Aves
13173,false,research,false,-24.9907258033,31.6016578674,,false,Charadrius tricollaris,Aves
13175,false,research,false,-24.9922427943,31.5949201584,,false,Merops pusillus,Aves
13176,false,research,false,-25.0031723557,31.6044044495,,false,Batis molitor,Aves
13195,false,research,false,-25.0548120692,31.8809509277,,false,Dendrocygna viduata,Aves
13213,false,research,false,-25.0062837968,31.5935897827,,false,Hieraaetus wahlbergi,Aves
13214,false,research,false,-24.9891698956,31.6018295288,,false,Motacilla aguimp,Aves
13222,false,research,false,-25.0481250183,31.5868091583,,false,Merops nubicoides,Aves
13233,false,research,false,-25.0026122882,31.6053056717,,false,Corythaixoides concolor,Aves
13234,false,research,false,-26.3640339583,28.512096405,,false,Vidua macroura,Aves
13235,,research,false,-26.3698784764,28.5129547119,,false,Elanus caeruleus,Aves
13237,false,research,false,-26.3594196564,28.5076332092,,false,Phalacrocorax carbo,Aves
13238,false,research,false,-26.3591120297,28.513469696,,false,Anas undulata,Aves
13239,false,research,false,-26.3598810949,28.5100364685,,false,Podiceps cristatus,Aves
13240,false,research,false,-26.3598810949,28.5078048706,,false,Chlidonias hybrida,Aves
13241,false,research,false,-26.3597272822,28.5100364685,,false,Microcarbo africanus,Aves
13242,true,research,false,-26.3597272822,28.5126113892,,false,Calidris pugnax,Aves
13243,false,research,false,-26.3604963433,28.5084915161,,false,Tachybaptus ruficollis,Aves
13244,,research,false,-26.3586505881,28.5055732727,,false,Lanius collaris,Aves
13246,false,research,false,-26.3592658431,28.507976532,,false,Euplectes orix,Aves
13247,,research,false,-26.3600349073,28.5105514526,,false,Gallinula chloropus meridionalis,Aves
13248,false,research,false,-26.05471,28.02743,,false,Passer melanurus,Aves
13249,false,research,false,-26.3591120297,28.5088348389,,false,Cisticola tinniens,Aves
13250,false,research,false,-26.05471,28.02743,,false,Ploceus velatus,Aves
13251,false,research,false,-24.9816380516,31.5666013956,,false,Halcyon albiventris,Aves
13252,false,research,false,-25.6923468,30.2469457,,false,Apus caffer,Aves
13253,false,research,false,-26.3597272822,28.5088348389,,false,Chlidonias leucopterus,Aves
13262,false,research,false,-26.3588044022,28.5062599182,,false,Saxicola torquatus,Aves
13271,false,research,false,-26.3595427073,28.5084056854,,false,Hirundo albigularis,Aves
13286,false,research,false,-24.9939620287,31.5912723541,,false,Pycnonotus barbatus,Aves
13319,false,research,false,-34.4170869602,20.5434980795,,true,Haematopus moquini,Aves
13320,false,research,false,-34.4171062814,20.7178115845,,false,Sphenoeacus afer,Aves
13766,false,research,false,-33.9103147514,18.390083313,,false,Chroicocephalus hartlaubii,Aves
14256,false,research,false,-34.6693585452,18.193359375,,false,Oceanites oceanicus,Aves
14257,false,research,false,-34.4909276737,18.3062473852,,true,Procellaria aequinoctialis,Aves
14262,false,research,false,-34.5078466987,18.237602406,,true,Thalassarche cauta,Aves
14263,true,research,false,-34.4492173264,18.3368355996,,true,Thalassarche chlororhynchos carteri,Aves
14264,,research,false,-34.5699063809,18.2702636719,,false,Stercorarius antarcticus,Aves
14271,false,research,false,-34.4975027214,18.3526611328,,false,Xema sabini,Aves
15460,false,research,false,-19.5331387577,23.5299253464,,false,Bubulcus ibis,Aves
15461,false,research,false,-19.4963696232,23.5210418701,,false,Buphagus africanus,Aves
15462,false,research,false,-19.5331387577,23.5299253464,,false,Ardea alba,Aves
15465,false,research,false,-19.5331387577,23.5299253464,,false,Plectropterus gambensis,Aves
15471,true,research,false,-19.4017448007,23.4296539311,,true,Bucorvus leadbeateri,Aves
15472,false,research,false,-19.5331387577,23.5299253464,,false,Threskiornis aethiopicus aethiopicus,Aves
15473,false,research,false,-21.6829628352,21.6912925243,,false,Anas erythrorhyncha,Aves
15661,false,research,false,-22.40305969,22.00939715,,false,Eupodotis afraoides,Aves
15699,false,research,false,-22.416107,21.992226,,false,Elanus caeruleus,Aves
15707,false,research,false,-22.42609986,22.33790874,,false,Bubo lacteus,Aves
15708,false,research,false,-22.3969038374,22.0359992981,,false,Elanus caeruleus,Aves
16337,,research,false,-17.821589,25.129852,,false,Alopochen aegyptiaca,Aves
16339,,research,false,-17.821589,25.129852,,false,Anastomus lamelligerus,Aves
16342,,research,false,-17.821589,25.129852,,false,Ardeola ralloides,Aves
16345,,research,false,-17.821589,25.129852,,false,Anhinga rufa,Aves
17057,,research,false,-22.3945231314,22.0481872559,,false,Bubo lacteus,Aves
17068,false,research,false,-19.4481404,23.3250045,,false,Buphagus africanus,Aves
17075,false,research,false,-19.4533201,23.3076667,,false,Coracias caudatus,Aves
17078,false,research,false,-19.4454696,23.3126449,,false,Alopochen aegyptiaca,Aves
17081,false,research,false,-19.4655538744,23.218549045,,true,Gyps africanus,Aves
17086,false,research,false,-19.599471803,23.2550077114,,true,Bugeranus carunculatus,Aves
17089,,research,false,-19.4437699,23.3241462,,false,Ephippiorhynchus senegalensis,Aves
17090,false,research,false,-19.4529255,23.2999205,,false,Laniarius bicolor,Aves
17093,false,research,false,-19.4512765,23.2965517,,false,Euplectes axillaris,Aves
17094,false,research,false,-19.4492735,23.3218288,,false,Sarkidiornis melanotos,Aves
17101,false,research,false,-18.4604227869,24.0550078643,,true,Sagittarius serpentarius,Aves
17102,false,research,false,-18.5160745,24.0875244,,false,Aquila rapax,Aves
